TokenId,Airdrop receiver,Owner,ProjectId,Is still in airdrop wallet
1841,0x85d30b5a70259923e7da4ce433985c55cd095bb9,0x85d30b5a70259923e7da4ce433985c55cd095bb9,16,TRUE
1842,0x85fdc7bc611eb83a0faa84f6c3c084ab1e8c6c4d,0x85fdc7bc611eb83a0faa84f6c3c084ab1e8c6c4d,2,TRUE
1843,0x85fdc7bc611eb83a0faa84f6c3c084ab1e8c6c4d,0x85fdc7bc611eb83a0faa84f6c3c084ab1e8c6c4d,2,TRUE
1844,0x861bea9c765f424cd04608b98b49522367099d9a,0x861bea9c765f424cd04608b98b49522367099d9a,2,TRUE
1845,0x8624c053ef76f740ec11fe3b183341e968b1c3ba,0xa4b0679f66b072ab8bac48063f07a4f98be7d314,2,FALSE
1846,0x862b214ce3bf059df24b2460ab4c6a608b26baca,0x862b214ce3bf059df24b2460ab4c6a608b26baca,0,TRUE
1847,0x8639eb2f2e9db036b57ff1eaf4643cedaf2e0f65,0x8639eb2f2e9db036b57ff1eaf4643cedaf2e0f65,2,TRUE
1848,0x869b47257ff9305d12809563735c0c965f3d0515,0x869b47257ff9305d12809563735c0c965f3d0515,14,TRUE
1849,0x86a1d5232f7aa9b9e938012329bf216c9792c16a,0xa723a5c69c34c11f442fb3a0c740e3ed244d874e,20,FALSE
1850,0x86cb963819ab6ebaf511d438461062868a00a25c,0xde3d222f60f73bbcaf922d356414f7df7a3ffe95,0,FALSE
1851,0x86f5bac84ecf22e6798bbb70af0269b10b67c1e5,0x86f5bac84ecf22e6798bbb70af0269b10b67c1e5,8,TRUE
1852,0x870894200fbf1580c7df97cc6aa4ce857b7895ff,0x870894200fbf1580c7df97cc6aa4ce857b7895ff,20,TRUE
1853,0x87125fa1208e106fa18b0b2663431baa6f3f0e93,0xe56b926126ebef4e9860bb2480e41040c19e7081,12,FALSE
1854,0x876257e884f2475901d37c074599edac6cf3fc4d,0x876257e884f2475901d37c074599edac6cf3fc4d,0,TRUE
1855,0x87713711714df33bd21f0f4aeebbc05cdf876ced,0x87713711714df33bd21f0f4aeebbc05cdf876ced,20,TRUE
1856,0x8778b3120ba60fc831844c3dd2c5948c3fc6bc86,0x8778b3120ba60fc831844c3dd2c5948c3fc6bc86,14,TRUE
1857,0x87bf72ffd2bb5493ff5e44d7fce841bf61ec7cf1,0x87bf72ffd2bb5493ff5e44d7fce841bf61ec7cf1,20,TRUE
1858,0x87bf72ffd2bb5493ff5e44d7fce841bf61ec7cf1,0x87bf72ffd2bb5493ff5e44d7fce841bf61ec7cf1,20,TRUE
1859,0x87bf72ffd2bb5493ff5e44d7fce841bf61ec7cf1,0x87bf72ffd2bb5493ff5e44d7fce841bf61ec7cf1,20,TRUE
1860,0x87e11c31f4657383c5519b663a49d049257b96b4,0x9720dbe3f2716ea6fbf56ab4469b902e4acaa182,17,FALSE
1861,0x8847f12cd866726268625f6c062b727d87ef8e9f,0x8847f12cd866726268625f6c062b727d87ef8e9f,1,TRUE
1862,0x88528fd70ddb1ab8842ee3648273f78d39ba34d5,0x88528fd70ddb1ab8842ee3648273f78d39ba34d5,0,TRUE
1863,0x8854b06ba346a703a3c043e2e7b8822db3ca6b3a,0x8854b06ba346a703a3c043e2e7b8822db3ca6b3a,14,TRUE
